分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 18, IPv6: 0, 最小延迟: 15 ms, 最高速率: 16.16 MiB/s, 平均速率: 11.50 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-15, 有效: 6, IPv4: 22, IPv6: 0, 最小延迟: 14 ms, 最高速率: 27.87 MiB/s, 平均速率: 16.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-16, 有效: 7, IPv4: 9, IPv6: 0, 最小延迟: 14 ms, 最高速率: 18.62 MiB/s, 平均速率: 7.42 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-17, 有效: 6, IPv4: 10, IPv6: 0, 最小延迟: 14 ms, 最高速率: 49.54 MiB/s, 平均速率: 25.05 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CETV-1, 有效: 2, IPv4: 39, IPv6: 0, 最小延迟: 21 ms, 最高速率: 15.42 MiB/s, 平均速率: 14.01 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-2, 有效: 0, IPv4: 25, IPv6: 0, 最小延迟: 14 ms, 最高速率: 38.19 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 15 ms, 最高速率: 13.28 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-4, 有效: 0, IPv4: 31, IPv6: 0, 最小延迟: 14 ms, 最高速率: 25.45 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 文化精品, 有效: 2, IPv4: 9, IPv6: 0, 最小延迟: 21 ms, 最高速率: 46.95 MiB/s, 平均速率: 32.73 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 央视台球, 有效: 4, IPv4: 7, IPv6: 0, 最小延迟: 22 ms, 最高速率: 20.30 MiB/s, 平均速率: 6.38 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云音乐, 有效: 5, IPv4: 11, IPv6: 0, 最小延迟: 21 ms, 最高速率: 45.64 MiB/s, 平均速率: 23.49 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 第一剧场, 有效: 5, IPv4: 6, IPv6: 0, 最小延迟: 14 ms, 最高速率: 44.64 MiB/s, 平均速率: 22.39 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云剧场, 有效: 4, IPv4: 11, IPv6: 0, 最小延迟: 22 ms, 最高速率: 43.94 MiB/s, 平均速率: 25.32 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 怀旧剧场, 有效: 4, IPv4: 11, IPv6: 0, 最小延迟: 14 ms, 最高速率: 53.44 MiB/s, 平均速率: 27.89 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 女性时尚, 有效: 3, IPv4: 9, IPv6: 0, 最小延迟: 22 ms, 最高速率: 17.94 MiB/s, 平均速率: 14.24 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 高尔夫网球, 有效: 2, IPv4: 5, IPv6: 0, 最小延迟: 81 ms, 最高速率: 3.89 MiB/s, 平均速率: 2.17 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 风云足球, 有效: 3, IPv4: 5, IPv6: 0, 最小延迟: 21 ms, 最高速率: 20.91 MiB/s, 平均速率: 13.48 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 电视指南, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 世界地理, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 26 ms, 最高速率: 1.16 MiB/s, 平均速率: 1.16 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 6, IPv4: 9, IPv6: 0, 最小延迟: 21 ms, 最高速率: 57.11 MiB/s, 平均速率: 27.95 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 8, IPv6: 0, 最小延迟: 21 ms, 最高速率: 17.76 MiB/s, 平均速率: 9.01 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 8, IPv6: 0, 最小延迟: 475 ms, 最高速率: 0.16 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 2, IPv4: 33, IPv6: 0, 最小延迟: 17 ms, 最高速率: 18.87 MiB/s, 平均速率: 11.02 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 7, IPv4: 10, IPv6: 0, 最小延迟: 15 ms, 最高速率: 19.48 MiB/s, 平均速率: 7.12 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 北京卫视, 有效: 7, IPv4: 22, IPv6: 0, 最小延迟: 14 ms, 最高速率: 22.62 MiB/s, 平均速率: 10.01 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 11, IPv6: 0, 最小延迟: 20 ms, 最高速率: 19.55 MiB/s, 平均速率: 13.98 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 21 ms, 最高速率: 21.06 MiB/s, 平均速率: 11.62 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
